Video Date,Session Number,Grasped?,Notes,Object
2024/09/25 16:16 (GMT+1),1,✅✅ - Grasped and Carried Away,"The object is moved in the scene while an ant senses it. A second ant arrives, senses and grasps the object but does not carry it. A third ant senses without pinching while the second ant grasps and drags the object away.",Wedge - PLA - Wet Cat Food
2024/09/25 16:16 (GMT+1),3,❌ - Sensed - Not Manipulated,Two ants sense the object simultaneously. A third arrives and appears to sense the object using its mouthparts. No ant picks up the object or pinches it.,Wedge - PLA - Wet Cat Food
2024/09/25 16:16 (GMT+1),4,❌ - Sensed - Not Manipulated,"One ant slowly approaches the object, and senses it using antennae. It moves so that legs are in contact with the object, and appears to use mouthparts to sense the object, but does not pinch. It does not grasp the object.",Wedge - PLA - Wet Cat Food
2024/09/25 16:16 (GMT+1),8,❌ - Sensed - Not Manipulated,"Object is pushed by the researcher at first, then a single ant approaches the object, senses it without pinching then walks away.",Wedge - PLA - Dry Cat Food
2024/09/25 16:16 (GMT+1),11,❌ - Sensed - Not Manipulated,Ant approaches object and senses using the antenna. It climbs over the object and senses it using mouth parts but does not pinch or grasp before walking off.,Wedge - PLA - Dry Cat Food
2024/09/25 16:16 (GMT+1),12,❌ - Sensed - Not Manipulated,An ant climbs over the object while sensing but the video is short and there is minimal interaction.,Wedge - PLA - Dry Cat Food
2024/09/25 16:16 (GMT+1),13,❌ - Sensed - Not Manipulated,"Ant walks up to the object and climbs over it, using antenna and mouthparts to sense. It walks off without pinching or grasping.",Wedge - PLA - Dry Cat Food
2024/09/25 16:16 (GMT+1),14,❌ - No Contact With Object,Ant senses the ground before walking away.,Wedge - PLA - Dry Cat Food
2024/09/25 16:16 (GMT+1),15,❌ - Sensed - Not Manipulated,An ant climbs over the object while sensing but the video is short and there is minimal interaction.,Wedge - PLA - Dry Cat Food
2024/09/25 16:16 (GMT+1),16,❌ - Sensed - Not Manipulated,Ant approaches object and senses using the antenna. It lifts its forelimbs onto the object and senses it using mouth parts but does not pinch or grasp before walking off. It returns to sense the object more then leaves.,Wedge - PLA - Dry Cat Food
2024/09/25 16:16 (GMT+1),17,❌ - Sensed - Not Manipulated,Ant approaches object and senses using the antenna. It climbs over the object slowly but does not pinch or grasp before walking off. Another ant briefly makes contact with the object using the antennae.,Wedge - PLA - Dry Cat Food
2024/09/25 16:16 (GMT+1),18,❌ - Sensed - Not Manipulated,Ant very briefly makes contact with the object using the antennae then leaves.,Wedge - PLA - Dry Cat Food
2024/09/25 16:16 (GMT+1),19,✅ - Grasped + Dropped,"Video starts part way through an interaction. This ant is climbing over the object and sensing with the antennae and mouthparts. It drags the object using a single leg while still standing on the object. It drops the object, re-grasps and drags further. The ant continues to make multiple grasp attempts before walking away without the object.",Wedge - PLA - Dry Cat Food
2024/09/25 16:16 (GMT+1),20,✅ - Grasped + Dropped,Ant walks over object while sensing it with antenna and mouthparts. It walks away without pinching or grasping.,Wedge - PLA - Wet Cat Food
2024/09/25 16:16 (GMT+1),21,✅ - Grasped + Dropped,Ant walks over object while sensing it with antenna and mouthparts. This ant may use the mandibles to pinch the object but it is not clear.,Wedge - PLA - Wet Cat Food
2024/09/25 16:16 (GMT+1),25,✅ - Grasped + Dropped,"Long Video. Multiple ants approach, crawl over and sense the object. Many using the mouthparts under the mandibles, perhaps drinking any liquid possible from the object. One of the ants attempts to pinch the ring but it did not successfully grasp the object. Another ant makes sequential attempts to pinch the object around the ring’s circumference. One ant pinches and grasps the ring but does not manage to move the object, it then continues to move around the ring perimeter continuing to make pinching motions around the objects edge then walking away when it encounters another ant. Two more ants making pinching action around the circumference of the shape, following its edge. Eventually one of the ants successfully initiates movement of the object while two other ants are crawling over the object. The ants continue to manipulate the object, but not in the view of all cameras.",Ring - PLA - Wet Cat Food
